xxxx;;;;;;;;;;;;;;x
national_socialist_JOR;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_JOR;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_JOR;哈桑王族;Les Hachémites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_JOR;穆斯林兄弟会;Parti islamique Dawa;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_JOR;改革党;Parti réformateur;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_JOR;阿拉伯民主联盟党;Parti unioniste démocratique arabe;Demokratische Einheitspartei Arabiens;;Parido árabe Unionista Democrático;;;;;;;;;;x
social_democrat_JOR;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_JOR;共产主义工人党;Parti communiste des travailleurs jordaniens;Kommunistische Arbeiterpartei;;Partido Comunista de los Trabajadores;;;;;;;;;;x
leninist_JOR;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_JOR;约旦共产党;Parti communiste jordanien;Kommunistische Partei Jordaniens;;Partido Comunista de Jordania;;;;;;;;;;x
national_socialist_KOR;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_KOR;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_KOR;民主共和党;Parti républicain démocratique;Demokratische Republikanerpartei;;Partido Democrático Republicano;;;;;;;;;;x
social_conservative_KOR;民主正义党;Parti démocratique de la justice;Demokratische Gerechtigkeitspartei;;Partido de la Justicia Democrática;;;;;;;;;;x
market_liberal_KOR;自由党;Parti libéral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_KOR;民主党;Parti démocratique;Demokratische Partei;;Partido Demócrata;;;;;;;;;;x
social_democrat_KOR;民主劳动党;Parti travailliste démocratique;Demokratische Arbeiterpartei;;Partido Demócrata Laborista;;;;;;;;;;x
left_wing_radical_KOR;朝鲜人民党;Parti du peuple coréen;Koreanische Volkspartei;;Partido del Pueblo de Corea;;;;;;;;;;x
leninist_KOR;朝鲜共产党;Parti communiste coréen;Kommunistische Partei Koreas;;Partido Comunista de Corea;;;;;;;;;;x
stalinist_KOR;朝鲜工人党;Parti des travailleurs coréens;Koreanische Arbeiterpartei;;Partido de los Trabajadores de Corea;;;;;;;;;;x
national_socialist_LAT;民族联盟;Nacionala Savieniba;Nacionala Savieniba;;Nacionala Savieniba;;;;;;;;;;x
fascistic_LAT;军团党;La Légion;Die Legion;;La Legión;;;;;;;;;;x
paternal_autocrat_LAT;拉脱维亚农民联盟;LZs;LZs;;LZs;;;;;;;;;;x
social_conservative_LAT;人民党;Tautas Partija;Tautas Partija;;Tautas Partija;;;;;;;;;;x
market_liberal_LAT;LNP;拉脱维亚国家党;LNP;;LNP;;;;;;;;;;x
social_liberal_LAT;民主大会;Demokratiskais Bloks;Demokratiskais Bloks;;Demokratiskais Bloks;;;;;;;;;;x
social_democrat_LAT;拉脱维亚社会民主工人党;LSD;LSD;;LSD;;;;;;;;;;x
left_wing_radical_LAT;社会民主联盟;SDs;SDs;;SDs;;;;;;;;;;x
leninist_LAT;拉脱维亚社会民主劳动党;LSDSP;LSDSP;;LSDSP;;;;;;;;;;x
stalinist_LAT;拉脱维亚共产党;LKP;LKP;;LKP;;;;;;;;;;x
national_socialist_LEB;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_LEB;雪松守护者党;Gardiens des cèdres;W?chter der Zedern;;Guardianes de los Cedros;;;;;;;;;;x
paternal_autocrat_LEB;长枪党;Parti Kataeb;Kataeb-Partei;;Partido Kataeb;;;;;;;;;;x;
social_conservative_LEB;亚兰民主组织;Organisation démocratique araméenne;Aram?ische Demokratische Organisation;;Organización Democrática Aramea;;;;;;;;;;;x
market_liberal_LEB;黎巴嫩共和党;Parti républicain libanais;Republikanische Partei Libanon;;Partido Republicano Libanés;;;;;;;;;;x;
social_liberal_LEB;黎巴嫩民主党;Parti démocratique libanais;Demokratische Partei Libanon;;Partido Demócrata Libanés;;;;;;;;;;x;
social_democrat_LEB;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x;
left_wing_radical_LEB;工人同盟;Ligue des travailleurs;Arbeiterliga;;Liga de los Trabajadores;;;;;;;;;;x;
leninist_LEB;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x;
stalinist_LEB;黎巴嫩共产党;Parti communiste libanais;Kommunistische Partei Libanon;;Partido Comunista Libanés;;;;;;;;;;x;
national_socialist_LIB;利比里亚国社党;Parti national socialiste libérien;Nationalsozialistische Partei Liberias;;Partido Nacionalsocialista Liberiano;;;;;;;;;;x;
fascistic_LIB;利比里亚法西斯主义阵线;Front fasciste libérien;Faschistische Front Liberias;;Frente Fascista Liberiano;;;;;;;;;;x;
paternal_autocrat_LIB;利比里亚辉格党;Parti libéral libérien;True Whig Party;;Partido Whig Liberiano;;;;;;;;;;x;
social_conservative_LIB;利比里亚保守党;Parti conservateur libérien;Konservative Partei Liberias;;Partido Conservador Liberiano;;;;;;;;;;x;
market_liberal_LIB;自由党;Parti de la liberté;Freiheitspartei;;Partido de la Libertad;;;;;;;;;;x;
social_liberal_LIB;利比里亚国家民主党;Parti national démocratique libérien;Nationaldemokratische Partei Liberias;;Partido Nacional Demócrata de Liberia;;;;;;;;;;x;
social_democrat_LIB;利比里亚劳动党;Parti travailliste libérien;Liberianische Arbeiterpartei;;Partido Laborista de Liberia;;;;;;;;;;x;
left_wing_radical_LIB;前进人民党;Parti populaire progressiste;Fortschritts-Volkpartei;;Partido Progresista del Pueblo;;;;;;;;;;x;
leninist_LIB;利比里亚革命党;Parti révolutionnaire libérien;Liberianische Revolutionspartei;;Partido Revolucionario Liberiano;;;;;;;;;;x
stalinist_LIB;利比里亚共产党;Parti communiste libérien;Kommunistische Partei Liberias;;Partido Comunista de Liberia;;;;;;;;;;x
national_socialist_LIT;VLNSS;VLNSS;VLNSS;;VLNSS;;;;;;;;;;x
fascistic_LIT;立陶宛国家党;LTS;LTS;;LTS;;;;;;;;;;x
paternal_autocrat_LIT;立陶宛国家党;LTS;LTS;;LTS;;;;;;;;;;x
social_conservative_LIT;立陶宛基督教民主党;LKD;LKD;;LKD;;;;;;;;;;x
market_liberal_LIT;民族复兴党;TPP;TPP;;TPP;;;;;;;;;;x
social_liberal_LIT;立陶宛劳动党;LDP;LDP;;LDP;;;;;;;;;;x
social_democrat_LIT;立陶宛社会民主党;LSDP;LSDP;;LSDP;;;;;;;;;;x
left_wing_radical_LIT;立陶宛大众社会民主党;LSLDP;LSLDP;;LSLDP;;;;;;;;;;x
leninist_LIT;立陶宛-白俄罗斯共产党;LBKP;LBKP;;LBKP;;;;;;;;;;x
stalinist_LIT;立陶宛共产党P;LKP;LKP;;LKP;;;;;;;;;;x
national_socialist_LUX;德意志人民运动;Volksdeutsche Bewegung;Volksdeutsche Bewegung;;Volksdeutsche Bewegung;;;;;;;;;;x
fascistic_LUX;国家独立党;Onofh?ngeg Nationalpartei;Onofh?ngeg Nationalpartei;;Onofh?ngeg Nationalpartei;;;;;;;;;;x
paternal_autocrat_LUX;权利党;Rietspartei;Rietspartei;;Rietspartei;;;;;;;;;;x
social_conservative_LUX;基督教社会人民党;CSV;CSV;;CSV;;;;;;;;;;x
market_liberal_LUX;自由联盟;Liberal Liga;Liberal Liga;;Liberal Liga;;;;;;;;;;x
social_liberal_LUX;激进自由党;Radikal-Liberal Partei;Radikal-Liberal Partei;;Radikal-Liberal Partei;;;;;;;;;;x
social_democrat_LUX;LAP;LAP;LAP;;LAP;;;;;;;;;;x
left_wing_radical_LUX;革命社会党;RSP;RSP;;RSP;;;;;;;;;;x
leninist_LUX;KBL;KBL;卢森堡共产联盟;;KBL;;;;;;;;;;x
stalinist_LUX;KPL;卢森堡共产党;KPL;;KPL;;;;;;;;;;x
national_socialist_MAN;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MAN;全俄罗法西斯党;Parti fasciste russe;Gesamtrussische faschistische Partei;;Partido Fascista de Todos los Rusos;;;;;;;;;;x
paternal_autocrat_MAN;满洲国协和会;Association pour la concorde;Ky?wakai-Bund;;La Asociación Concordia;;;;;;;;;;x
social_conservative_MAN;君主党;Parti monarchique;Monarchiepartei;;Partido Monárquico;;;;;;;;;;x
market_liberal_MAN;自由联盟;Union libérale;Liberale Union;;Unión Liberal;;;;;;;;;;x
social_liberal_MAN;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_MAN;社会民主党;Parti social démocratique;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_MAN;社会革命党;Parti social révolutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_MAN;社会主义工人党;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_MAN;满洲共产党;Parti socialiste du Manchukuo;Kommunistische Partei der Mandschurei;;Partido Comunista de Manchukuo;;;;;;;;;;x
national_socialist_MEN;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MEN;法西斯党;Parti fasciste;Faschistische Partei;;Partido Fascista;;;;;;;;;;x
paternal_autocrat_MEN;泛蒙古运动;Mouvement pan-mongolien;Panmongolische Bewegung;;Movimiento Panmongol;;;;;;;;;;x
social_conservative_MEN;保守党;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_MEN;自由联盟;Union libérale;Liberale Union;;Unión Liberal;;;;;;;;;;x
social_liberal_MEN;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_MEN;社会民主党;Parti social démocratique;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_MEN;社会革命党;Parti social révolutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_MEN;社会工人党;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_MEN;蒙古国共产党;Parti communiste du Mengkukuo;Kommunistische Partei Mengkukuo;;Partido Comunista de Mengkukuo;;;;;;;;;;x
national_socialist_MEX;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_MEX;国家共治联盟;Unión Nacional Sinarquista;Unión Nacional Sinarquista;;Unión Nacional Sinarquista;;;;;;;;;;x
paternal_autocrat_MEX;国家革命党;Partido Nacional Revolucionario;Partido Nacional Revolucionario;;Partido Nacional Revolucionario;;;;;;;;;;x
social_conservative_MEX;大众力量党;Partido Fuerza Popular;Partido Fuerza Popular;;Partido Fuerza Popular;;;;;;;;;;x
market_liberal_MEX;墨西哥自由党;Partido Liberal de Mexico;Partido Liberal de Mexico;;Partido Liberal de México;;;;;;;;;;x
social_liberal_MEX;革命制度党;Partido Revolucionario Institucional;Partido Revolucionario Institucional;;Partido Revolucionario Institucional;;;;;;;;;;x
social_democrat_MEX;墨西哥工人党;Partido Mexicano de los Trabajadores;Partido Mexicano de los Trabajadores;;Partido Mexicano de los Trabajadores;;;;;;;;;;x
left_wing_radical_MEX;社会工人党;Partido Socialista Obrero;Partido Socialista Obrero;;Partido Socialista Obrero;;;;;;;;;;x
leninist_MEX;墨西哥共产主义者党;Partido de los Comunistas Mexicanos;Partido de los Comunistas Mexicanos;;Partido de los Comunistas Mexicanos;;;;;;;;;;x
stalinist_MEX;墨西哥共产党;Partido Comunista Mexicano;Partido Comunista Mexicano;;Partido Comunista Mexicano;;;;;;;;;;x
national_socialist_MON;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MON;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_MON;泛蒙古运动;Mouvement pan-mongolien;Panmongolische Bewegung;;Movimiento Panmongol;;;;;;;;;;x
social_conservative_MON;保守党;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_MON;自由联盟;Union libérale;Liberale Union;;Unión Liberal;;;;;;;;;;x
social_liberal_MON;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_MON;社会民主党;Parti social démocratique;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_MON;祖国党;Parti de la mère patrie;Mutterlandspartei;;Partido de la Madre Patria;;;;;;;;;;x
leninist_MON;社会主义工党;Parti des travaux socialistes;Sozialistische Arbeiterpartei;;Partido Socialista del Trabajo;;;;;;;;;;x
stalinist_MON;蒙古人民革命党;MPRP;MPRP;;MPRP;;;;;;;;;;x
national_socialist_NEP;尼泊尔国社党;Parti national socialiste népalais;Nationalsozialistische Partei Nepals;;Partido Nacionalsocialista Nepalí;;;;;;;;;;x
fascistic_NEP;Nepali法西斯主义阵线;Front fasciste népalais;Faschistische Front Nepals;;Frente Fascista Nepalí;;;;;;;;;;x
paternal_autocrat_NEP;国家民主党;Parti national démocratique népalais;Nationaldemokratische Partei;;Partido Nacional Demócrata;;;;;;;;;;x
social_conservative_NEP;尼泊尔保守党;Parti conservateur népalais;Konservative Partei Nepals;;Partido Conservador de Nepal;;;;;;;;;;x
market_liberal_NEP;尼泊尔民族民主党;Parti Rastriya Janashaki;Rastriya Janashakti-Partei;;Partido Rastriya Janashakti;;;;;;;;;;x
social_liberal_NEP;尼泊尔亲善党;Parti Sadbhawana népalais;Nepal Sadbhawana-Partei;;Partido Nepal Sadbhawana;;;;;;;;;;x
social_democrat_NEP;尼泊尔议会党;Parti du Congrès népalais;Nepalesische Kongresspartei;;Partido del Congreso Nepalí;;;;;;;;;;x
left_wing_radical_NEP;尼泊尔工农党;Parti népalais des travailleurs et des paysans;Nepalesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de Nepal;;;;;;;;;;x
leninist_NEP;尼泊尔共产党(联合马列);CPN-UML;KPN-UML;;CPN-UML;;;;;;;;;;x
stalinist_NEP;尼泊尔共产党;Parti communiste népalais;Kommunistische Partei Nepal;;Partido Comunista de Nepal;;;;;;;;;;x
national_socialist_NIC;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_NIC;尼加拉瓜长枪党;Falange de Nicaragua;Falange de Nicaragua;;Falange de Nicaragua;;;;;;;;;;x
paternal_autocrat_NIC;国家护卫党;Guardia Nacional;Guardia Nacional;;Guardia Nacional;;;;;;;;;;x
social_conservative_NIC;保守党;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_NIC;民主党;Partido Democrático;Partido Democrático;;Partido Democrático;;;;;;;;;;x
social_liberal_NIC;立宪自由党;Partido Liberal Constitucionalista;Partido Liberal Constitucionalista;;Partido Liberal Constitucionalista;;;;;;;;;;x
social_democrat_NIC;尼加拉瓜社会党;Partido Socialista Nicaragüense;Partido Socialista Nicaragüense;;Partido Socialista Nicaragüense;;;;;;;;;;x
left_wing_radical_NIC;工人社会党;Partido Obrero Socialista;Partido Obrero Socialista;;Partido Obrero Socialista;;;;;;;;;;x
leninist_NIC;桑地诺民族解放阵线;Frente Sandinista de Liberación Nacional;Frente Sandinista de Liberación Nacional;;Frente Sandinista de Liberación Nacional;;;;;;;;;;x
stalinist_NIC;尼加拉瓜共产党;Partido Comunista de Nicaragua;Partido Comunista de Nicaragua;;Partido Comunista de Nicaragua;;;;;;;;;;x
national_socialist_NOR;民族统一党;Nasjonal Samling;Nasjonal Samling;;Nasjonal Samling;;;;;;;;;;x
fascistic_NOR;希尔登;Hirden;Hirden;;Hirden;;;;;;;;;;x
paternal_autocrat_NOR;民族党;Nasjonalpartiet;Nasjonalpartiet;;Nasjonalpartiet;;;;;;;;;;x
social_conservative_NOR;基督教人民党;Kristelig Folkeparti;Kristelig Folkeparti;;Kristelig Folkeparti;;;;;;;;;;x
market_liberal_NOR;保守党;H?yre;H?yre;;H?yre;;;;;;;;;;x
social_liberal_NOR;自由党;Venstre;Venstre;;Venstre;;;;;;;;;;x
social_democrat_NOR;工党;Arbeiderpartiet;Arbeiderpartiet;;Arbeiderpartiet;;;;;;;;;;x
left_wing_radical_NOR;NSA;NSA;NSA;;NSA;;;;;;;;;;x
leninist_NOR;摩特达格;Mot Dag;Mot Dag;;Mot Dag;;;;;;;;;;x
stalinist_NOR;挪威共产党;NKP;NKP;;NKP;;;;;;;;;;x¨
national_socialist_NZL;国社党;Parti national socialiste;National 社会党;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_NZL;联合民族阵线;Front national uni;United National Front;;Frente Nacional Unido;;;;;;;;;;x
paternal_autocrat_NZL;人民运动;Mouvement du peuple;People's Movement;;Movimiento del Pueblo;;;;;;;;;;x
social_conservative_NZL;民族党;Parti national;National Party;;Partido Nacional;;;;;;;;;;x
market_liberal_NZL;联合党;Parti uni;United Party;;Partido Unido;;;;;;;;;;x
social_liberal_NZL;改革党;Parti réformiste;改革党;;Partido Reformista;;;;;;;;;;x
social_democrat_NZL;工党;Parti travailliste;Labour Party;;Partido Laborista;;;;;;;;;;x
left_wing_radical_NZL;社会党;Parti socialiste;社会党;;Partido Socialista;;;;;;;;;;x
leninist_NZL;社会民主党;Parti social démocratique;Social Democratic Party;;Partido Socialdemócrata;;;;;;;;;;x
stalinist_NZL;新西兰共产党;CPNZ;CPNZ;;CPNZ;;;;;;;;;;x
national_socialist_OMN;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_OMN;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_OMN;民族党;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_OMN;穆斯林兄弟会;Frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_OMN;改革党;Parti réformiste;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_OMN;阿拉伯民主联盟党 ;Parti unioniste démocratique arabe;Demokratische Einheitspartei Arabiens;;Partido árabe Unionista Democrático ;;;;;;;;;;x
social_democrat_OMN;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_OMN;阿拉伯 Popular Party;Parti populaire arabe;Arabische Volkspartei;;Partido Popular árabe;;;;;;;;;;x
leninist_OMN;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_OMN;也门共产党;Parti communiste d'Oman;Kommunistische Partei des Omans;;Partido Comunista de Omán;;;;;;;;;;x
national_socialist_PAK;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_PAK;巴基斯坦法西斯阵线;Front fasciste pakistanais;Faschistische Front Pakistan;;Frente Fascista de Pakistán;;;;;;;;;;x
paternal_autocrat_PAK;伊斯兰大会党;Jamaat-e-Islami;Jamaat-e-Islami;;Jamaat-e-Islami;;;;;;;;;;x
social_conservative_PAK;穆斯林联盟;Ligue musulmane;Muslimische Liga;;Liga Musulmana;;;;;;;;;;x
market_liberal_PAK;共和党;Parti républicain;Republikanische Partei;;Partido Republicano;;;;;;;;;;x
social_liberal_PAK;巴基斯坦人民党;Parti du peuple pakistanais;Pakistanische Volkspartei;;Partido del Pueblo Pakistaní;;;;;;;;;;x
social_democrat_PAK;人民民族党;Parti national Awami;Nationalpartei Awami;;Partido Nacional Awami;;;;;;;;;;x
left_wing_radical_PAK;革命党;Parti révolutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_PAK;巴基斯坦工人党;Parti des travailleurs pakistanais;Pakistanische Arbeiterpartei;;Partido de los Trabajadores de Pakistán;;;;;;;;;;x
stalinist_PAK;巴基斯坦共产党;Parti communiste pakistanais;Kommunistische Partei Pakistans;;Partido Comunista de Pakistán;;;;;;;;;;x
national_socialist_PAL;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_PAL;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_PAL;哈桑王族;Les Hachémites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_PAL;穆斯林兄弟会;Frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_PAL;改革党;Parti réformiste;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_PAL;阿拉伯民主联盟党;Parti unioniste démocrate arabe;Demokratische Einheitspartei Arabiens;;Partido árabe Unionista Democrático;;;;;;;;;;x
social_democrat_PAL;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_PAL;伊拉克工人共产党;Parti communiste et des travailleurs;Kommunistische Arbeiterpartei;;Partido Comunista de los Trabajadores;;;;;;;;;;x
leninist_PAL;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_PAL;巴勒斯坦共产党;Parti communiste palestinien;Kommunistische Partei Pal?stinas;;Partido Comunista de Palestina;;;;;;;;;;x
national_socialist_PAN;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PAN;巴拿马长枪党;Falange de Panamá;Falange de Panamá;;Falange de Panamá;;;;;;;;;;x
paternal_autocrat_PAN;巴拿马民族党;Partido Nacional de Panamá;Partido Nacional de Panamá;;Partido Nacional de Panamá;;;;;;;;;;x
social_conservative_PAN;保守党;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_PAN;民族共和自由运动;MOLIRENA;MOLIRENA;;MOLIRENA;;;;;;;;;;x
social_liberal_PAN;革命党;Partido Revolucionario;Partido Revolucionario;;Partido Revolucionario;;;;;;;;;;x
social_democrat_PAN;民主革命党;Partido Revolucionario Democrático;Partido Revolucionario Democrático;;Partido Revolucionario Democrático;;;;;;;;;;x
left_wing_radical_PAN;巴拿马人民党;Partido del Pueblo de Panamá;Partido del Pueblo de Panamá;;Partido del Pueblo de Panamá;;;;;;;;;;x
leninist_PAN;社会主义工人阵线;Frente Obrero Socialista;Frente Obrero Socialista;;Frente Obrero Socialista;;;;;;;;;;x
stalinist_PAN;巴拿马共产党;Partido Comunista de Panamá;Partido Comunista de Panamá;;Partido Comunista de Panamá;;;;;;;;;;x
national_socialist_PAR;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PAR;巴拉圭长枪党;Falange del Paraguayo;Falange del Paraguayo;;Falange del Paraguay;;;;;;;;;;x
paternal_autocrat_PAR;民族共和党,;Partido Colorado,;Partido Colorado,;;Partido Colorado;;;;;;;;;;x
social_conservative_PAR;保守党;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_PAR;自由党;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_PAR;激进自由党;Partido Liberal Radical Auténtico;Partido Liberal Radical Auténtico;;Partido Liberal Radical Auténtico;;;;;;;;;;x
social_democrat_PAR;社会党;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_PAR;社会革命党;Partido Socialista Revolucionario;Partido Socialista Revolucionario;;Partido Socialista Revolucionario;;;;;;;;;;x
leninist_PAR;自由祖国党;Partido Patria Libre;Partido Patria Libre;;Partido Patria Libre;;;;;;;;;;x
stalinist_PAR;巴拉圭共产党;Partido Comunista Paraguayo;Partido Comunista Paraguayo;;Partido Comunista Paraguayo;;;;;;;;;;x
national_socialist_PER;Goruh-e Intiqam;Goruh-e Intiqam;Goruh-e Intiqam;;Goruh-e Intiqam;;;;;;;;;;x
fascistic_PER;泛伊朗人党;Hezb-e Pan-Iranist;Hezb-e Pan-Iranist;;Hezb-e Paniranista;;;;;;;;;;x
paternal_autocrat_PER;觉醒党;Hezb-e Rastakhiz;Hezb-e Rastakhiz;;Hezb-e Rastakhiz;;;;;;;;;;x
social_conservative_PER;伊朗党;Hezb-e Iran;Hezb-e Iran;;Hezb-e Irán;;;;;;;;;;x
market_liberal_PER;伊朗民族阵线;Jebhe Milli Iran;Jebhe Milli Iran;;Jebhe Milli Irán;;;;;;;;;;x
social_liberal_PER;穆舍维特耶党;Hezb-e Musherevete-ye Iran;Hezb-e Musherevete-ye Iran;;Hezb-e Musherevete-ye Irán;;;;;;;;;;x
social_democrat_PER;扎梅卡什哈党;Hezb-e Zahmetkashha Iran;Hezb-e Zahmetkashha Iran;;Hezb-e Zahmetkashha Irán;;;;;;;;;;x
left_wing_radical_PER;伊朗群众党;Hezb-e Tudeh;Hezb-e Tudeh;;Hezb-e Tudeh;;;;;;;;;;x
leninist_PER;伊朗工党;Hezb-e Kar-e Iran;Hezb-e Kar-e Iran;;Hezb-e Kar-e Irán;;;;;;;;;;x
stalinist_PER;伊朗共产党;Hezb-e Komunist Iran;Hezb-e Komunist Iran;;Hezb-e Komunist Irán;;;;;;;;;;x
national_socialist_PHI;加纳普党;Ganap Party;Ganap-Partei;;Partido Ganap;;;;;;;;;;x
fascistic_PHI;真理党;Sakdalista;Sakdalista;;Sakdalista;;;;;;;;;;x
paternal_autocrat_PHI;新菲律宾服务党;KALIBAPI;KALIBAPI;;KALIBAPI;;;;;;;;;;x
social_conservative_PHI;新社会运动党;Kilusang Bagong Lipunan;Kilusang Bagong Lipunan;;Kilusang Bagong Lipunan;;;;;;;;;;x
market_liberal_PHI;菲律宾自由党;Partido Liberal ng Pilipinas;Partido Liberal ng Pilipinas;;Partido Liberal ng Pilipinas;;;;;;;;;;x
social_liberal_PHI;民族党;Partido Nacionalista;Partido Nacionalista;;Partido Nacionalista;;;;;;;;;;x
social_democrat_PHI;新爱国主义联盟;BAYAN;BAYAN;;BAYAN;;;;;;;;;;x
left_wing_radical_PHI;五一工人运动;Kilusang Mayo Uno;Kilusang Mayo Uno;;Kilusang Mayo Uno;;;;;;;;;;x
leninist_PHI;菲律宾共产党-1930;PKP-1930;PKP-1930;;PKP-1930;;;;;;;;;;x
stalinist_PHI;菲律宾共产党;Partido Komunista ng Pilipinas;Partido Komunista ng Pilipinas;;Partido Komunista ng Pilipinas;;;;;;;;;;x
national_socialist_POL;德国人协会;Deutsche Vereinigung;Deutsche Vereinigung;;Deutsche Vereinigung;;;;;;;;;;x
fascistic_POL;民族激进阵营;ONR;ONR;;ONR;;;;;;;;;;x
paternal_autocrat_POL;民族统一阵营;OZN;OZN;;OZN;;;;;;;;;;x
social_conservative_POL;波兰人民党;PSL;PSL;;PSL;;;;;;;;;;x
market_liberal_POL;国家公民联盟;ZLN;ZLN;;ZLN;;;;;;;;;;x
